model,feature,importance,importance_type
linear_regression,OT,0.8068154112721638,abs_coefficient
linear_regression,OT_rolling_std_12_lag_1,0.3351176529613254,abs_coefficient
linear_regression,LULL_lag_1,0.32582674231419895,abs_coefficient
linear_regression,OT_rolling_mean_3,0.2362487655106,abs_coefficient
linear_regression,OT_rolling_std_12,0.1826651263712282,abs_coefficient
linear_regression,OT_rolling_mean_6,0.1667352596282446,abs_coefficient
linear_regression,OT_rolling_mean_24,0.14233257925209908,abs_coefficient
linear_regression,HULL_lag_1,0.13245124558782911,abs_coefficient
linear_regression,OT_rolling_mean_12_lag_1,0.13136061520739375,abs_coefficient
linear_regression,MULL_lag_1,0.1304098703638382,abs_coefficient
linear_regression,LULL,0.11015042816353987,abs_coefficient
linear_regression,OT_rolling_mean_24_lag_1,0.10790831412928598,abs_coefficient
linear_regression,HULL,0.08911665058460504,abs_coefficient
linear_regression,OT_rolling_std_6,0.08379988422295698,abs_coefficient
linear_regression,OT_rolling_std_24,0.0783133141110492,abs_coefficient
ridge,OT,0.8067760240954897,abs_coefficient
ridge,OT_rolling_std_12_lag_1,0.333543036931214,abs_coefficient
ridge,LULL_lag_1,0.3237620301263844,abs_coefficient
ridge,OT_rolling_mean_3,0.23627728506363505,abs_coefficient
ridge,OT_rolling_std_12,0.1810458694382871,abs_coefficient
ridge,OT_rolling_mean_6,0.1664994502401629,abs_coefficient
ridge,OT_rolling_mean_24,0.14229086994563545,abs_coefficient
ridge,HULL_lag_1,0.1322186259738345,abs_coefficient
ridge,OT_rolling_mean_12_lag_1,0.13123685102291477,abs_coefficient
ridge,MULL_lag_1,0.13017800343985358,abs_coefficient
ridge,LULL,0.10837357373650294,abs_coefficient
ridge,OT_rolling_mean_24_lag_1,0.10787063038255844,abs_coefficient
ridge,HULL,0.08911484539863539,abs_coefficient
ridge,OT_rolling_std_6,0.0841353715978072,abs_coefficient
ridge,OT_rolling_std_24,0.07809472555129748,abs_coefficient
random_forest,OT,0.9930920559756601,feature_importance
random_forest,OT_rolling_mean_3,0.00043753830596612354,feature_importance
random_forest,MUFL,0.0002845713643989476,feature_importance
random_forest,hour,0.0002744779719409662,feature_importance
random_forest,HUFL,0.00026094177621552886,feature_importance
random_forest,OT_lag_1,0.00024337572313514797,feature_importance
random_forest,OT_rolling_std_3,0.00023860720153303852,feature_importance
random_forest,hour_lag_1,0.00023819402144227358,feature_importance
random_forest,OT_rolling_std_12_lag_1,0.00018639415415061428,feature_importance
random_forest,OT_rolling_std_3_lag_1,0.00018132805090923765,feature_importance
random_forest,OT_lag_24,0.00017798763569366676,feature_importance
random_forest,OT_lag_24_lag_1,0.00017463770064970294,feature_importance
random_forest,HULL_lag_1,0.00016756100344119805,feature_importance
random_forest,OT_lag_48_lag_1,0.00016356720610854973,feature_importance
random_forest,OT_lag_12_lag_1,0.00016307675541600404,feature_importance
extra_trees,OT,0.18886339008398007,feature_importance
extra_trees,OT_rolling_mean_3,0.14607464823363872,feature_importance
extra_trees,OT_lag_1,0.1121687848920116,feature_importance
extra_trees,OT_rolling_mean_3_lag_1,0.08852442660497774,feature_importance
extra_trees,OT_rolling_mean_6,0.07908336638642355,feature_importance
extra_trees,OT_lag_2,0.07169774425050952,feature_importance
extra_trees,OT_lag_1_lag_1,0.05468691308859325,feature_importance
extra_trees,OT_lag_3,0.05022898710053082,feature_importance
extra_trees,OT_lag_2_lag_1,0.0376573491768255,feature_importance
extra_trees,OT_rolling_mean_6_lag_1,0.0367719012540807,feature_importance
extra_trees,OT_rolling_mean_12,0.03016901114073128,feature_importance
extra_trees,OT_rolling_mean_12_lag_1,0.028197364035668564,feature_importance
extra_trees,OT_rolling_mean_24_lag_1,0.02205530713253037,feature_importance
extra_trees,OT_lag_3_lag_1,0.018583110193995937,feature_importance
extra_trees,OT_rolling_mean_24,0.01420264661740823,feature_importance
